"year","month","tis99","tia30","tia10","til30","til10","ts","time"
1527,5,0,0,0,0,0,1527.38,"1527-5-15 00:00:00"
1527,6,0,0,0,0,0,1527.46,"1527-6-15 00:00:00"
1527,7,-1,-1,-1,-1,-1,1527.54,"1527-7-15 00:00:00"
1527,8,0,0,0,0,0,1527.62,"1527-8-15 00:00:00"
1527,9,-1,-1,-1,-1,-1,1527.71,"1527-9-15 00:00:00"
1527,10,-1,-1,-1,-1,-1,1527.79,"1527-10-15 00:00:00"
1527,11,0,0,0,0,0,1527.88,"1527-11-15 00:00:00"
1527,12,0,0,0,0,0,1527.96,"1527-12-15 00:00:00"
1528,1,1,1,1,1,1,1528.04,"1528-1-15 00:00:00"
1528,2,0,0,0,0,0,1528.12,"1528-2-15 00:00:00"
1528,3,0,0,0,0,0,1528.21,"1528-3-15 00:00:00"
1528,4,-1,-1,-1,-1,-1,1528.29,"1528-4-15 00:00:00"
1528,5,0,0,0,0,0,1528.38,"1528-5-15 00:00:00"
1528,6,0,0,0,0,0,1528.46,"1528-6-15 00:00:00"
1528,7,0,0,0,0,0,1528.54,"1528-7-15 00:00:00"
1528,8,-1,-1,-1,-1,-1,1528.62,"1528-8-15 00:00:00"
1528,9,1,1,1,1,1,1528.71,"1528-9-15 00:00:00"
1528,10,0,0,0,0,0,1528.79,"1528-10-15 00:00:00"
1528,11,0,0,0,0,0,1528.88,"1528-11-15 00:00:00"
1528,12,0,0,0,0,0,1528.96,"1528-12-15 00:00:00"
1529,1,-1,-1,-1,-1,-1,1529.04,"1529-1-15 00:00:00"
1529,2,-1,-1,-1,-1,-1,1529.12,"1529-2-15 00:00:00"
1529,3,0,0,0,0,0,1529.21,"1529-3-15 00:00:00"
1529,4,0,0,0,0,0,1529.29,"1529-4-15 00:00:00"
1529,5,0,0,0,0,0,1529.38,"1529-5-15 00:00:00"
1529,6,-2,-2,-2,-2,-2,1529.46,"1529-6-15 00:00:00"
1529,7,-1,-1,-1,-1,-1,1529.54,"1529-7-15 00:00:00"
1529,8,-2,-2,-2,-2,-2,1529.62,"1529-8-15 00:00:00"
1529,9,-1,-1,-1,-1,-1,1529.71,"1529-9-15 00:00:00"
1529,10,0,0,0,0,0,1529.79,"1529-10-15 00:00:00"
1529,11,0,0,0,0,0,1529.88,"1529-11-15 00:00:00"
1529,12,1,1,1,1,1,1529.96,"1529-12-15 00:00:00"
1530,1,2,2,2,2,2,1530.04,"1530-1-15 00:00:00"
1530,2,1,1,1,1,1,1530.12,"1530-2-15 00:00:00"
1530,3,0,0,0,0,0,1530.21,"1530-3-15 00:00:00"
1530,4,-1,-1,-1,-1,-1,1530.29,"1530-4-15 00:00:00"
1530,5,0,0,0,0,0,1530.38,"1530-5-15 00:00:00"
1530,6,0,0,0,0,0,1530.46,"1530-6-15 00:00:00"
1530,7,0,0,0,0,0,1530.54,"1530-7-15 00:00:00"
1530,8,-2,-2,-2,-2,-2,1530.62,"1530-8-15 00:00:00"
1530,9,0,0,0,0,0,1530.71,"1530-9-15 00:00:00"
1530,10,-1,-1,-1,-1,-1,1530.79,"1530-10-15 00:00:00"
1530,11,0,0,0,0,0,1530.88,"1530-11-15 00:00:00"
1530,12,0,0,0,0,0,1530.96,"1530-12-15 00:00:00"
1531,1,1,1,1,1,1,1531.04,"1531-1-15 00:00:00"
1531,2,1,1,1,1,1,1531.12,"1531-2-15 00:00:00"
1531,3,-3,-3,-3,-3,-3,1531.21,"1531-3-15 00:00:00"
1531,4,-1,-1,-1,-1,-1,1531.29,"1531-4-15 00:00:00"
